web-scraper-order,web-scraper-start-url,link,link-href,info,info-href,loupan,dizhi,leixing,jibie,jiejian,wuyefei,kongtiaoleixing,ketishu,huotishu,cheweiyuezujin,dishangcheweishu,wangluotongxun,dixiacheweishu,wuyegongsi,louneipeitao,companies,security,floors,year,zongmianji,biaozhuncengmianji,biaozhuncenggao,Dixiachewei,jinggao,kaifashang,datangcenggao,shewai,kezhuce,kaijianmianji,waiqiang,rent
"1529413872-1469","https://sh.xzl.anjuke.com/loupan/p61/","复兴广场","/loupan/10786?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10786","复兴广场","黄浦-淮海路-雁荡路109号","写字楼","乙级","复兴广场是现代化高级办公楼，复兴广场位于市区繁华地段，地理位置优越交通便利，租金合理，设施齐全，装修现代，是企业领袖精明睿智之选择。复兴广场的物业管理周到，为商家提供一流的商务服务。复兴广场房型布局合理，灵活分割可满足各企业人性化的设计追求。","28元/平米•月","集中式中央空调","4部","1部","1200元/月","30个","电信、联通、移动","30个","暂无","会议室、食堂、商务中心、便利店","企业名称：百时美施贵宝投资，所属行业：会计/金融/银行/保险、企业名称：英属华信，所属行业：贸易/消费/制造/营运、企业名称：美赞臣（广州）有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海煊仁环保仪器有限公司，所属行业：贸易/消费/制造/营运、企业名称：思维管理咨询有限公司，所属行业：计算机/互联网/通信/电子","会议室、食堂、商务中心、便利店","6层","1998年1月","19500m²","3100m²","3米","30个","2.5米","上海复兴广场有限公司","4米","是","是","206m²、52m²、150m²、274m²、98m²、81m²、154m²","玻璃幕墙","5.33元/m²•天"
"1529423197-3128","https://sh.xzl.anjuke.com/loupan/p6/","西子国际中心","/loupan/339029?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/339029","西子国际中心","闵行-莘庄-秀文路898号","写字楼","甲级","西子国际中心，位于莘庄商务区核心地带，规划总建筑面积106,462平方米，由2座高品质写字楼、3座总部办公写字楼组成，以国际5A甲级标准，品质全面超越区域内现有写字楼，专为实力企业打造的商务办公平台。","23元/平米•月","集中式中央空调","6部","1部","暂无","716个","暂无","暂无","高力国际","暂无","暂无","暂无","暂无","2013年12月","106462m²","1900m²","暂无","暂无","暂无","新华园地产","暂无","否","否","暂无","玻璃幕墙","3.55元/m²•天"
"1529412613-1264","https://sh.xzl.anjuke.com/loupan/p68/","新平公寓","/loupan/198041?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/198041","新平公寓","静安-静安寺-延平路81弄","综合写字楼","乙级","暂无数据","暂无","暂无","2部","暂无","300元/月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","28层","2004年04月","暂无","暂无","暂无","暂无","暂无","上海延平房地产经营开发有限公司","暂无","否","是","暂无","暂无","暂无数据"
"1529419845-2429","https://sh.xzl.anjuke.com/loupan/p29/","华一实业大厦","/loupan/10852?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10852","华一实业大厦","徐汇-漕河泾-莲花路1555号","写字楼","乙级","华一实业大厦，由上海华一实业公司投资建设，是智能化多功能综合性写字楼，于2004年5月投入使用。大厦位于上海市中心域区西南，内环线和外环线之间。东邻漕河泾新兴技术开发区，西通虹桥国际机场，北往虹桥经济技术开发区，南近锦江乐园莲花路地铁出口处。周边的主要道路有漕宝路、虹梅路、古美路、莲花路、合川路、东兰路、平南路、万源路等，交通便捷，地理位置优越！","6元/平米•月","分体空调","3部","1部","350元/月","50个","电信、联通、长城、铁通、移动","200个","上海华诚物业管理有限公司","ATM、便利店、食堂、商务中心","企业名称：美来和贸易公司，所属行业：贸易/消费/制造/营运、企业名称：上海康太服饰设计有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海科耐软件科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海能博士空调销售有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海真邦贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海震轩美容美发管理有限公司，所属行业：专业服务/教育/培训、企业名称：上海巴士汽车租赁服务有限公司，所属行业：专业服务/教育/培训","ATM、便利店、食堂、商务中心","25层","2004年6月","40000m²","1600m²","3.6米","200个","2.6米","上海华一实业有限公司","5米","否","是","1m²、601m²、633m²、705m²、201m²、600m²","玻璃幕墙","3.24元/m²•天"
"1529418877-2302","https://sh.xzl.anjuke.com/loupan/p33/","长峰中心.聚贤阁","/loupan/159104?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/159104","长峰中心.聚贤阁","长宁-延安西路-延安西路1030弄","综合写字楼","甲级","长峰中心采用条形隐框玻璃幕墙，银色的铝合金板配托蓝灰色的镀膜玻璃，整端延安路高架西段，无论东西南北，都可看到他挺拔，俊伟的形象。 　　长峰中心采用""西门子""交配电系统和先进的""模拟量智能式""报警系统，以及其他高级办公楼应具有的先进设备。长峰中心还采用条形隐框玻璃幕墙，银色的铝合金板配托蓝灰色的镀膜玻璃，整段延安路高架西段，无论东西南北，都可看到她挺拔、俊伟的形象。","2.2元/平米•月","分体空调","1部","1部","400元/月","20个","电信、联通","50个","长峰物业管理有限公司","银行、餐饮、便利店","企业名称：上海系迪信息科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：广州先来服饰有限公司上海办事处，所属行业：贸易/消费/制造/营运、企业名称：武汉武塑集团物资供应有限公司上海代表处，所属行业：能源/原材料、企业名称：上海瑞登家俱有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海新真医疗器械有限公司，所属行业：专业服务/教育/培训","银行、餐饮、便利店","10层","2001年5月","暂无","暂无","2.8米","50个","2.6米","新长宁集团","3米","否","是","70m²、80平米m²","大理石","5.58元/m²•天"
"1529414706-1614","https://sh.xzl.anjuke.com/loupan/p56/","国际港务大厦","/loupan/10021?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10021","国际港务大厦","虹口-北外滩-东大名路358号","写字楼","甲级","际港务大厦位于东大名路近旅顺路，地处北外滩的核心区域，与陆家嘴金融贸易区隔江相望。大厦是上海国际客运中心的办公楼项目，与水滴型的候船厅成为北外滩的标志性建筑。通体采用中空玻璃幕墙装饰，外观简洁流畅，建筑呈优美的弧形造型。大堂挑高5米，装修大气、简约，现代，室内采光充足，设有门禁系统，为入驻企业提供安全的办公环境。大厦为全装修式交房，从地板、吊顶到地毯、家具一应俱全，为北外滩知名的涉外写字楼宇。","31元/平米•月","集中式中央空调","7部","1部","1500元/月","10个","电信、长城、移动、卫通","200个","仲量联行","食堂、ATM、便利店、会议室","企业名称：上港集团物流有限公司，所属行业：物流/运输、企业名称：利比里亚皇家加勒比游轮公司上海代表处，所属行业：物流/运输、企业名称：上海海勃物流软件有限公司，所属行业：物流/运输、企业名称：上海海华轮船有限公司，所属行业：物流/运输、企业名称：重庆集海航运有限公司上海分公司，所属行业：物流/运输","食堂、ATM、便利店、会议室","27层","2008年10月","57782m²","1500m²","4米","200个","2.5米","上海港国际客运中心开发有限公司","5米","是","是","3m²、005m²、001m²、500m²","玻璃幕墙","6.08元/m²•天"
"1529420279-2516","https://sh.xzl.anjuke.com/loupan/p26/","大来大楼","/loupan/383247?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/383247","大来大楼","黄浦-外滩-广东路51号","写字楼","甲级","暂无数据","37元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","7.4元/m²•天"
"1529423145-3117","https://sh.xzl.anjuke.com/loupan/p6/","均瑶国际广场","/loupan/10693?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10693","均瑶国际广场","徐汇-徐家汇-肇家浜路746号","写字楼","甲级","""均瑶国际广场位于上海市肇嘉浜路789号，地处淮海，徐汇两大商业中心连接点，成为上海市西南新兴CBD写字楼。","25元/平米•月","集中式中央空调","9部","2部","1000元/月","30个","电信、联通、移动","150个","仲量联行","银行、ATM、餐饮、便利店","企业名称：上海均谣集团，所属行业：政府/非赢利机构/其他、企业名称：富士电机，所属行业：贸易/消费/制造/营运、企业名称：屈臣氏，所属行业：贸易/消费/制造/营运、企业名称：大华贸易公司，所属行业：贸易/消费/制造/营运、企业名称：群升国际贸易(上海)有限公司，所属行业：贸易/消费/制造/营运、企业名称：古田鞋业，所属行业：贸易/消费/制造/营运","银行、ATM、餐饮、便利店","17层","2003年1月","75000m²","2385m²","3.8米","150个","2.6米","上海均瑶实业投资有限公司","12米","是","是","130m²、150m²、360m²","玻璃幕墙","4.87元/m²•天"
"1529415449-1727","https://sh.xzl.anjuke.com/loupan/p52/","上海国际贸易中心","/loupan/10326?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10326","上海国际贸易中心","长宁-虹桥开发区-延安西路2200号","写字楼","甲级","上海国际贸易中心是中日合资建造和经营的具有一流水平的综合性商务楼。 　　上海国际贸易中心地处经济发达、客商云集的虹桥经济技术开发区，比邻贯通全市的高架环线，地理位置优越，交通方便。 　　上海国际贸易中心建筑高度140米,地上37层,地下2层，内部钢结构，外部镜面反射玻璃幕墙，总建筑面积约92,000平方米，投资总额近壹亿美元。 　　上海国际贸易中心有限公司主要经营办公室、公寓、展示厅、会议室、多功","25元/平米•月","暂无","9部","2部","120元/月","110个","电信、联通、移动、卫通","185个","暂无","食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心","企业名称：千一日本料理，所属行业：贸易/消费/制造/营运、企业名称：香港三星电子香港有限公司，所属行业：计算机/互联网/通信/电子、企业名称：西日本城市银行股份有限公司，所属行业：会计/金融/银行/保险、企业名称：东阳纺高机能制品贸易，所属行业：贸易/消费/制造/营运、企业名称：上海焱森投资发展有限公司，所属行业：贸易/消费/制造/营运","食堂、银行、ATM、餐饮、便利店、干洗店、商务中心、会议室、会展中心","37层","1990年1月","90000m²","1440m²","3.7米","185个","2.5米","上海国际贸易有限公司","6米","是","是","33m²、1440m²","玻璃幕墙","5元/m²•天"
"1529413097-1355","https://sh.xzl.anjuke.com/loupan/p65/","家化金融大厦","/loupan/10342?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10342","家化金融大厦","虹口-北外滩-天潼路133号","写字楼","甲级","家化金融大厦位于天潼路，地处外滩北翼外白渡桥堍处，与外滩近代优秀建筑群一脉相连，交通便捷，地理位置优越。大厦是上海家化集团和中国工商银行强强联手的杰作，竣工于1998年，楼龄虽长，但内部维护良好，品质过硬。","18元/平米•月","集中式中央空调","4部","1部","600元/月","30个","电信、联通、长城、铁通、移动、卫通","80个","上海家化置业有限公司","银行、ATM","企业名称：上海波乐电子科技有限公司，所属行业：计算机/互联网/通信/电子、企业名称：南华国际物流有限公司，所属行业：物流/运输、企业名称：通商货运代理有限公司，所属行业：物流/运输、企业名称：山东省烟台海运总公司上海办事处，所属行业：政府/非赢利机构/其他、企业名称：鸿博船务有限公司，所属行业：物流/运输","银行、ATM","20层","1998年1月","22055m²","1100m²","3米","80个","2.5米","家化置业有限公司","21米","是","是","200m²、300m²","玻璃幕墙","3.55元/m²•天"
"1529421145-2707","https://sh.xzl.anjuke.com/loupan/p20/","恒汇国际大厦","/loupan/10600?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10600","恒汇国际大厦","静安-火车站-天目西路580号","商业综合体","甲级","恒基投资有限公司开发建设的恒基130项目结构封顶，该地块项目位于不夜城内的恒丰路西侧、天目西路北侧、长安路东侧，机电大厦和上海站大酒店南侧，占地面积5773平方米，地上建筑面积40000平方米，地下建筑面积7644平方米，项目性质为商办楼。","27元/平米•月","集中式中央空调","8部","3部","1159元/月","186个","电信、联通、移动、卫通","186个","高力国际物业管理公司","银行","企业名称：布朗公司，所属行业：政府/非赢利机构/其他、企业名称：上海炳轩能源发展有限公司，所属行业：能源/原材料、企业名称：海英荷普曼船舶设备，所属行业：贸易/消费/制造/营运、企业名称：上海远急国际贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：西比秘斯汽车技术（上海）有限公司，所属行业：贸易/消费/制造/营运","银行","29层","2010年7月","48042m²","1412m²","3.2米","186个","2.7米","恒基兆业地产集团","10米","是","是","1m²、853m²、404m²、001m²、712m²","玻璃幕墙","5.17元/m²•天"
"1529417549-2040","https://sh.xzl.anjuke.com/loupan/p42/","智苑文创空间","/loupan/383453?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/383453","智苑文创空间","静安-大宁绿地-闸北区共和路2802号","写字楼","甲级","暂无数据","12元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","3.45元/m²•天"
"1529422504-2986","https://sh.xzl.anjuke.com/loupan/p10/","台尚创意园","/loupan/399853?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/399853","台尚创意园","闵行-七宝-吴宝路428号","商业综合体","甲级","暂无数据","12元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","上海仲联房地产经纪有限公司","暂无","暂无","暂无","4层","2015年6月","暂无","暂无","暂无","暂无","暂无","上海仲联房地产经纪有限公司","暂无","是","是","暂无","暂无","3.35元/m²•天"
"1529409551-744","https://sh.xzl.anjuke.com/loupan/p85/","中国人保寿险大厦","/loupan/380113?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/380113","中国人保寿险大厦","黄浦-外滩-福佑路8号","写字楼","甲级","暂无数据","30元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","15层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","暂无数据"
"1529410502-929","https://sh.xzl.anjuke.com/loupan/p79/","华金资产","/loupan/384086?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/384086","华金资产","浦东-张江-上海浦东新区银冬路125号","写字楼","甲级","暂无数据","15元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","无","暂无","暂无","暂无","3层","2016年09月","暂无","暂无","暂无","暂无","暂无","无","暂无","是","是","暂无","暂无","暂无数据"
"1529413862-1467","https://sh.xzl.anjuke.com/loupan/p61/","徐航大厦","/loupan/383624?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/383624","徐航大厦","徐汇-徐家汇-漕溪北路45号","写字楼","甲级","暂无数据","25元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","6.08元/m²•天"
"1529423752-3243","https://sh.xzl.anjuke.com/loupan/p2/","世纪汇广场","/loupan/383245?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/383245","世纪汇广场","浦东-陆家嘴-浦东新区潍坊路179号","写字楼","甲级","暂无数据","35元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","10.14元/m²•天"
"1529420184-2496","https://sh.xzl.anjuke.com/loupan/p27/","大宁财智中心","/loupan/339140?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/339140","大宁财智中心","静安-大宁绿地-灵石路658号","写字楼","甲级","大宁财智中心公共区域全精装标准。总建筑面积:18826.88㎡面积分隔范围:114.56㎡-256.04㎡得房率:单元得房率约65.51% ;整层得房率约77%净层高:1F:4.8米;2F-3F:4.6米;4F:4.1米;空调系统:中央空调电梯品牌及配置:OTIS;通信系统:中国电信、中国联通电力供应:80W/㎡单元消防配置:烟感、喷淋交房标准: 单元内毛坯交房,水泥地、无吊顶、玻璃门","22元/平米•月","半集中式中央空调","1部","3部","600元/月","100个","电信、联通、铁通、移动、有线通","450个","上海锦和商业经营管理股份有限公司","食堂、银行、ATM、餐饮、便利店、商务中心、会议室","企业名称：上海多科贸易有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海大中科技有限公司，所属行业：计算机/互联网/通信/电子","食堂、银行、ATM、餐饮、便利店、商务中心、会议室","18层","2012年12月","18826.88m²","944.17m²","4.3米","450个","3米","上海锦和商业经营管理股份有限公司","6米","是","是","114m²、56m²、256m²、04平米m²","面砖","3.35元/m²•天"
"1529413989-1486","https://sh.xzl.anjuke.com/loupan/p60/","铜仁88","/loupan/399934?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/399934","铜仁88","静安-南京西路-静安区南京西路商圈铜仁路88号","写字楼","甲级","暂无数据","15元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","第一太平戴维斯","暂无","暂无","暂无","10层","2016年5月","暂无","暂无","暂无","暂无","暂无","铜仁88物业","暂无","是","是","暂无","暂无","5.56元/m²•天"
"1529417965-2120","https://sh.xzl.anjuke.com/loupan/p39/","青松城","/loupan/10586?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10586","青松城","徐汇-肇嘉浜路-肇嘉浜路777号","酒店写字楼","甲级","青松城地处上海繁华的徐家汇商业圈内，位于市级景观道路 — 肇嘉浜路上。不但享有高架、地铁等便利交通条件，而且正成为这一地区的标志性、导向性建筑 — 已有多条公交线路正式冠名“青松城”站。 　　按现代化办公要求设计的办公房面积逾15000平方米，分布于主楼建筑的5-11层，层高3.5米，单元面积从40-115平方米不等，并可根据客户的办公需要进行分割; 72%的得房率创造物超所值的使用空间; 充裕的","25元/平米•月","暂无","5部","1部","800元/月","20个","电信、联通、移动、卫通、有线通","200个","锦江国际管理有限公司","银行、ATM、餐饮","企业名称：日东化工，所属行业：贸易/消费/制造/营运、企业名称：全景视拓江凌电器，所属行业：计算机/互联网/通信/电子、企业名称：中航文化股份有限公司，所属行业：广告/媒体、企业名称：汉普国际英语，所属行业：专业服务/教育/培训、企业名称：株式会社日进制作所上海代表处，所属行业：贸易/消费/制造/营运","银行、ATM、餐饮","19层","1997年12月","40714m²","2140m²","3.5米","200个","2.6米","上海青松城经济发展有限公司","14米","是","是","85m²、100m²","玻璃幕墙","5.48元/m²•天"
"1529408376-527","https://sh.xzl.anjuke.com/loupan/p92/","虹桥商务大厦","/loupan/11470?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/11470","虹桥商务大厦","长宁-古北-虹桥路2272号","综合写字楼","乙级","虹桥商务大厦设置了综合布线系统，电脑接地线，卫星电视及光纤电缆；大厦内消防自动报警系统及喷淋系统采用美国进口设备；大厦主要出入口、电梯、公共走道设有监控系统，保安24小时值班。2002年虹桥商务大厦被中华人民共和国建设部评为全国物业管理示范大厦。虹桥商务大厦每层面积3600平方米左右，可自由分隔成20平方米以上至3600平方米的办公用房。","25元/平米•月","暂无","7部","1部","1000元/月","290个","电信、联通、移动","100个","上海紫泰物业管理有限公司","银行、ATM、餐饮、便利店、商务中心、会议室","企业名称：平亚投控有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海动量惠银信息技术有限公司，所属行业：计算机/互联网/通信/电子、企业名称：上海紫勋房地产开发有限公司，所属行业：房地产/建筑、企业名称：上海亿丰投资发展有限公司，所属行业：会计/金融/银行/保险","银行、ATM、餐饮、便利店、商务中心、会议室","7层","2001年4月","25200m²","3600m²","3.8米","100个","2.6米","上海紫江集团","8米","是","是","154m²","面砖","暂无数据"
"1529420596-2588","https://sh.xzl.anjuke.com/loupan/p24/","东渡国际嘉庭广场","/loupan/401291?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/401291","东渡国际嘉庭广场","普陀-长风商务区-云岭东路391弄","写字楼","甲级","暂无数据","18元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","仲量联行","暂无","暂无","暂无","18层","2017年10月","暂无","暂无","暂无","暂无","暂无","东渡集团","暂无","是","是","暂无","暂无","4.56元/m²•天"
"1529410962-1004","https://sh.xzl.anjuke.com/loupan/p76/","开天大厦","/loupan/402731?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/402731","开天大厦","松江-新桥-广富林路93号","写字楼","甲级","暂无数据","6元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","开天大楼物业有限公司","暂无","暂无","暂无","28层","2017年2月","暂无","暂无","暂无","暂无","暂无","上海开天集团","暂无","是","是","暂无","暂无","暂无数据"
"1529407212-289","https://sh.xzl.anjuke.com/loupan/p100/","绿地旭辉国际","/loupan/101636?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/101636","绿地旭辉国际","徐汇-徐家汇-东安路800弄","综合写字楼","甲级","项目  是绿地集团耗资100亿打造的滨江唯一的CBD项目，位于卢湾区黄浦江南延板块稀有的南向岸线，离江96米。这里将打造一个类似于新天地的城市综合体，由3栋超5A甲级写字楼，2栋滨江豪宅，一栋5星级万豪酒店以及一个大型的奢侈品商业中心组成。办公楼下面裙房1-4楼将引进银行，超市，餐饮等。","19元/平米•月","集中式中央空调","6部","1部","1500元/月","90个","电信、联通、移动","265个","高力国际","暂无","暂无","暂无","22层","2011年11月","64000m²","1500m²","5.5米","265个","4.2米","上海绿地浦晖置业有限公司","6米","是","是","1500m²","玻璃幕墙","暂无数据"
"1529415403-1720","https://sh.xzl.anjuke.com/loupan/p52/","华亭科技大厦","/loupan/397237?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/397237","华亭科技大厦","松江-九亭-九泾路18号","写字楼","甲级","暂无数据","6元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","是","是","暂无","暂无","2.64元/m²•天"
"1529411236-1038","https://sh.xzl.anjuke.com/loupan/p75/","华林大楼","/loupan/222028?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/222028","华林大楼","徐汇-万体馆-漕溪路190号","写字楼","乙级","华林大厦为一幢综合性的工作大楼，位于徐汇区漕溪路田林东路口。该大楼共12层。该大厦距徐家汇商业圈仅一站路，离万体馆只是几步之遥。周边各类商业、办公用房及高档的住宅小区密集。","3元/平米•月","分体空调","2部","暂无","500元/月","20个","电信","30个","暂无","ATM、便利店","企业名称：大昌行汽车租赁，所属行业：贸易/消费/制造/营运、企业名称：影响力教育训练集团，所属行业：专业服务/教育/培训、企业名称：上海众铃，所属行业：贸易/消费/制造/营运","ATM、便利店","12层","1994年5月","7800m²","647m²","3.2米","30个","2.5米","暂无","5米","否","是","647m²","涂料","2.64元/m²•天"
"1529412671-1276","https://sh.xzl.anjuke.com/loupan/p67/","仙霞创意园","/loupan/397573?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/397573","仙霞创意园","长宁-虹桥开发区-仙霞路350号","创意园区","暂无数据","暂无数据","1元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","上海工程技术学校","暂无","暂无","暂无","8层","2015年1月","暂无","暂无","暂无","暂无","暂无","上海工程技术学校","暂无","是","是","暂无","暂无","4.17元/m²•天"
"1529415323-1709","https://sh.xzl.anjuke.com/loupan/p53/","燕兴大厦","/loupan/11199?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/11199","燕兴大厦","普陀-长寿路-江宁路1306弄12号","综合写字楼","丙级","燕兴大厦是由金辉房产公司主要投资并主建的综合商住楼，坐落在普陀区江宁路澳门路路口，南靠长寿路商业街；东临上海火车站，北与中山北路物资一条街相邻。　　大厦地处上海西区黄金地段，交通方便，周围商业、生活、医院、教育网点齐全，是一处理想的居住乐园和办公商贸场所。　　燕兴大厦总建筑面积33248平方米，地面为29层，总高度95米，地下车库一层，地面1-4层为大型综合商场，5-14层为大开间办公用房，15-","3元/平米•月","集中式中央空调","3部","1部","400元/月","50个","电信、长城、移动、有线通","20个","圣鑫物业","银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心","企业名称：上海博慧商务展览有限公司，所属行业：贸易/消费/制造/营运、企业名称：上海中迅运输有限公司，所属行业：物流/运输、企业名称：上海中工建设发展有限公司，所属行业：房地产/建筑、企业名称：上海东方国际商品拍卖有限公司，所属行业：专业服务/教育/培训、企业名称：上海朋都信息科技有限公司，所属行业：计算机/互联网/通信/电子","银行、ATM、餐饮、便利店、食堂、干洗店、商务中心、会议室、会展中心","24层","2002年6月","33248m²","1500m²","3.6米","20个","2.5米","金辉房产公司","6.9米","是","是","1500m²","涂料","4.06元/m²•天"
"1529415412-1722","https://sh.xzl.anjuke.com/loupan/p52/","光宝科技大厦","/loupan/400919?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/400919","光宝科技大厦","闵行-华漕-兴虹路187弄3号","写字楼","甲级","暂无数据","32元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","重庆天骄物业管理服务有限公司","暂无","暂无","暂无","9层","2017年04月","暂无","暂无","暂无","暂无","暂无","上海远定房地产开发有限公司","暂无","是","是","暂无","暂无","3.95元/m²•天"
"1529423605-3213","https://sh.xzl.anjuke.com/loupan/p3/","新梅联合广场","/loupan/10546?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/10546","新梅联合广场","浦东-八佰伴-浦东南路999号","商业综合体","甲级","新梅联合广场位于浦东南路商圈，占据浦东地区最繁华的时尚领地。周边交通方便，直面延安路隧道、复兴路隧道，紧邻地铁9号线。新梅联合广场是融行政公寓、办公、商业、餐饮等多功能为一体的综合性建筑，是陆家嘴又一新地标性建筑。新梅联合广场的北塔为五星级酒店—上海新梅万豪行政公寓，南塔为甲级写字楼。写字楼内租户多为世界500强企业及其代表处。","30元/平米•月","集中式中央空调","10部","2部","1200元/月","20个","电信、联通、铁通、移动、卫通、有线通","213个","第一太平戴维斯","银行、ATM、餐饮、便利店、干洗店","企业名称：平壤高丽饭店，所属行业：贸易/消费/制造/营运、企业名称：资生堂（中国）投资有限公司，所属行业：贸易/消费/制造/营运、企业名称：欧姆龙电子部件贸易（上海）有限公司，所属行业：计算机/互联网/通信/电子、企业名称：西部数据香港有限公司，所属行业：贸易/消费/制造/营运、企业名称：好时食品国际贸易（上海）有限公司，所属行业：贸易/消费/制造/营运","银行、ATM、餐饮、便利店、干洗店","38层","2006年1月","110000m²","1200m²","2.7米","213个","2.7米","上海鑫兆地产发展有限公司","8米","是","是","160m²、280m²","玻璃幕墙","9.13元/m²•天"
"1529422711-3030","https://sh.xzl.anjuke.com/loupan/p9/","张江·矽岸国际","/loupan/340390?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/340390","张江·矽岸国际","浦东-张江-张江高科技园区申江路5709号/秋月路26号","创意园区","甲级","暂无数据","12元/平米•月","半集中式中央空调","10部","暂无","暂无","暂无","电信、联通、移动","458个","暂无","ATM","暂无","ATM","11层","2011年6月","73144m²","暂无","4.5米","458个","3.5米","暂无","暂无","是","是","300-1389m²","涂料","4.36元/m²•天"
"1529410397-909","https://sh.xzl.anjuke.com/loupan/p79/","康健大楼","/loupan/196584?from=loupanlist","楼盘参数","https://sh.xzl.anjuke.com/loupan/canshu/196584","康健大楼","徐汇-漕河泾-康健路135弄","写字楼","乙级","暂无数据","10.8元/平米•月","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","15层","暂无","暂无","暂无","暂无","暂无","暂无","暂无","暂无","否","是","暂无","暂无","暂无数据"
